Time,Topic,Payload
2022-05-16 10:32:25.135242,NXTBLE/devices/84CCA8550D40/telemetry,"b'{""anchor_id"":""84CCA8550D40"",""time"":""2022-05-16T10:32:23Z"",""tags"":[{""ble_id"":""ac:23:3f:4e:6b:57"",""T"":25.42,""H"":56.46,""rssi"":-58}]}'"
2022-05-16 10:32:25.135242,NXTBLE/devices/84CCA8550D40/telemetry,"b'{""anchor_id"":""84CCA8550D40"",""time"":""2022-05-16T10:32:23Z"",""tags"":[{""ble_id"":""ac:23:3f:4e:6b:57"",""T"":25.42,""H"":56.46,""rssi"":-58}]}'"
2022-05-16 10:33:00.013096,NXTBLE/devices/84CCA8550D40/telemetry,"b'{""anchor_id"":""84CCA8550D40"",""time"":""2022-05-16T10:32:59Z"",""tags"":[{""ble_id"":""ac:23:3f:4e:6b:57"",""T"":25.43,""H"":56.35,""rssi"":-58}]}'"
2022-05-16 10:33:00.013096,NXTBLE/devices/84CCA8550D40/telemetry,"b'{""anchor_id"":""84CCA8550D40"",""time"":""2022-05-16T10:32:59Z"",""tags"":[{""ble_id"":""ac:23:3f:4e:6b:57"",""T"":25.43,""H"":56.35,""rssi"":-58}]}'"
2022-05-16 10:33:29.580933,NXTBLE/devices/84CCA8550D40/telemetry,"b'{""anchor_id"":""84CCA8550D40"",""time"":""2022-05-16T10:33:28Z"",""tags"":[{""ble_id"":""ac:23:3f:4e:6b:57"",""T"":25.46,""H"":56.25,""rssi"":-58}]}'"
2022-05-16 10:33:29.580933,NXTBLE/devices/84CCA8550D40/telemetry,"b'{""anchor_id"":""84CCA8550D40"",""time"":""2022-05-16T10:33:28Z"",""tags"":[{""ble_id"":""ac:23:3f:4e:6b:57"",""T"":25.46,""H"":56.25,""rssi"":-58}]}'"
2022-05-16 10:33:59.314709,NXTBLE/devices/84CCA8550D40/telemetry,"b'{""anchor_id"":""84CCA8550D40"",""time"":""2022-05-16T10:33:58Z"",""tags"":[{""ble_id"":""ac:23:3f:4e:6b:57"",""T"":25.47,""H"":56.32,""rssi"":-56}]}'"
2022-05-16 10:34:32.429725,NXTBLE/devices/84CCA8550D40/telemetry,"b'{""anchor_id"":""84CCA8550D40"",""time"":""2022-05-16T10:34:28Z"",""tags"":[{""ble_id"":""ac:23:3f:4e:6b:57"",""T"":25.47,""H"":56.46,""rssi"":-58}]}'"
2022-05-16 10:34:32.429725,NXTBLE/devices/84CCA8550D40/telemetry,"b'{""anchor_id"":""84CCA8550D40"",""time"":""2022-05-16T10:34:28Z"",""tags"":[{""ble_id"":""ac:23:3f:4e:6b:57"",""T"":25.47,""H"":56.46,""rssi"":-58}]}'"
2022-05-16 10:34:59.121710,NXTBLE/devices/84CCA8550D40/telemetry,"b'{""anchor_id"":""84CCA8550D40"",""time"":""2022-05-16T10:34:58Z"",""tags"":[{""ble_id"":""ac:23:3f:4e:6b:57"",""T"":25.49,""H"":56.56,""rssi"":-58}]}'"
2022-05-16 10:34:59.122706,NXTBLE/devices/84CCA8550D40/telemetry,"b'{""anchor_id"":""84CCA8550D40"",""time"":""2022-05-16T10:34:58Z"",""tags"":[{""ble_id"":""ac:23:3f:4e:6b:57"",""T"":25.49,""H"":56.56,""rssi"":-58}]}'"
2022-05-16 10:35:28.786854,NXTBLE/devices/84CCA8550D40/telemetry,"b'{""anchor_id"":""84CCA8550D40"",""time"":""2022-05-16T10:35:28Z"",""tags"":[{""ble_id"":""ac:23:3f:4e:6b:57"",""T"":25.51,""H"":56.41,""rssi"":-58}]}'"
2022-05-16 10:35:58.767653,NXTBLE/devices/84CCA8550D40/telemetry,"b'{""anchor_id"":""84CCA8550D40"",""time"":""2022-05-16T10:35:58Z"",""tags"":[{""ble_id"":""ac:23:3f:4e:6b:57"",""T"":25.53,""H"":56.44,""rssi"":-57}]}'"
2022-05-16 10:36:28.379351,NXTBLE/devices/84CCA8550D40/telemetry,"b'{""anchor_id"":""84CCA8550D40"",""time"":""2022-05-16T10:36:27Z"",""tags"":[{""ble_id"":""ac:23:3f:4e:6b:57"",""T"":25.55,""H"":56.46,""rssi"":-55}]}'"
2022-05-16 10:36:28.379351,NXTBLE/devices/84CCA8550D40/telemetry,"b'{""anchor_id"":""84CCA8550D40"",""time"":""2022-05-16T10:36:27Z"",""tags"":[{""ble_id"":""ac:23:3f:4e:6b:57"",""T"":25.55,""H"":56.46,""rssi"":-55}]}'"
2022-05-16 10:36:58.315301,NXTBLE/devices/84CCA8550D40/telemetry,"b'{""anchor_id"":""84CCA8550D40"",""time"":""2022-05-16T10:36:57Z"",""tags"":[{""ble_id"":""ac:23:3f:4e:6b:57"",""T"":25.58,""H"":56.49,""rssi"":-56}]}'"
2022-05-16 10:36:58.315301,NXTBLE/devices/84CCA8550D40/telemetry,"b'{""anchor_id"":""84CCA8550D40"",""time"":""2022-05-16T10:36:57Z"",""tags"":[{""ble_id"":""ac:23:3f:4e:6b:57"",""T"":25.58,""H"":56.49,""rssi"":-56}]}'"
