time,anchor_id,tag_id,Temperature,Humidity,rssi
2022-05-16 17:22:52.640823,84CCA8550D40,ac:23:3f:4e:6b:57,26.34,55.19,-77
2022-05-16 17:23:17.309269,84CCA8550D40,ac:23:3f:4e:6b:57,26.33,55.24,-67
2022-05-16 17:23:47.104166,84CCA8550D40,ac:23:3f:4e:6b:57,26.28,55.34,-76
2022-05-16 17:24:17.048420,84CCA8550D40,ac:23:3f:4e:6b:57,26.27,55.46,-75
2022-05-16 17:24:41.678538,84CCA8550D40,ac:23:3f:4e:6b:57,26.27,55.39,-69
2022-05-16 17:25:11.327518,84CCA8550D40,ac:23:3f:4e:6b:57,26.26,55.32,-70
2022-05-16 17:25:35.989250,84CCA8550D40,ac:23:3f:4e:6b:57,26.26,55.67,-74
2022-05-16 17:26:05.884226,84CCA8550D40,ac:23:3f:4e:6b:57,26.29,55.59,-73
2022-05-16 17:26:35.599027,84CCA8550D40,ac:23:3f:4e:6b:57,26.31,55.63,-75
2022-05-16 17:41:08.469358,84CCA8550D40,ac:23:3f:4e:6b:57,26.34,55.65,-59
2022-05-16 17:41:33.135153,84CCA8550D40,ac:23:3f:4e:6b:57,26.38,55.8,-59
2022-05-16 17:42:02.950640,84CCA8550D40,ac:23:3f:4e:6b:57,26.38,55.62,-57
2022-05-16 17:42:32.904143,84CCA8550D40,ac:23:3f:4e:6b:57,26.4,55.51,-59
2022-05-16 17:42:57.741885,84CCA8550D40,ac:23:3f:4e:6b:57,26.39,55.52,-57
2022-05-16 17:43:27.195570,84CCA8550D40,ac:23:3f:4e:6b:57,26.41,55.61,-57
2022-05-16 17:43:52.310359,84CCA8550D40,ac:23:3f:4e:6b:57,26.43,55.5,-58
2022-05-16 17:44:22.069729,84CCA8550D40,ac:23:3f:4e:6b:57,26.45,55.59,-58
2022-05-16 17:44:47.999021,84CCA8550D40,ac:23:3f:4e:6b:57,26.46,55.39,-60
2022-05-16 17:45:13.742532,84CCA8550D40,ac:23:3f:4e:6b:57,26.47,55.39,-60
2022-05-16 17:45:43.395338,84CCA8550D40,ac:23:3f:4e:6b:57,26.46,54.94,-58
2022-05-16 17:46:13.249130,84CCA8550D40,ac:23:3f:4e:6b:57,26.47,55.09,-59
2022-05-16 17:46:37.933117,84CCA8550D40,ac:23:3f:4e:6b:57,26.47,54.98,-57
2022-05-16 17:47:07.851551,84CCA8550D40,ac:23:3f:4e:6b:57,26.48,55.0,-59
2022-05-16 17:47:37.806714,84CCA8550D40,ac:23:3f:4e:6b:57,26.49,54.94,-58
2022-05-16 17:48:02.313066,84CCA8550D40,ac:23:3f:4e:6b:57,26.51,55.09,-59
2022-05-16 17:48:32.049221,84CCA8550D40,ac:23:3f:4e:6b:57,26.53,54.93,-58
2022-05-16 17:49:01.736704,84CCA8550D40,ac:23:3f:4e:6b:57,26.55,55.03,-58
2022-05-16 17:49:26.535578,84CCA8550D40,ac:23:3f:4e:6b:57,26.55,55.03,-59
2022-05-16 17:49:56.271938,84CCA8550D40,ac:23:3f:4e:6b:57,26.54,54.9,-58
2022-05-16 17:50:21.090398,84CCA8550D40,ac:23:3f:4e:6b:57,26.56,54.85,-59
2022-05-16 17:50:46.841588,84CCA8550D40,ac:23:3f:4e:6b:57,26.57,54.9,-60
2022-05-16 17:51:16.612433,84CCA8550D40,ac:23:3f:4e:6b:57,26.57,54.72,-58
2022-05-16 17:51:46.346804,84CCA8550D40,ac:23:3f:4e:6b:57,26.58,54.8,-58
2022-05-16 17:52:16.068185,84CCA8550D40,ac:23:3f:4e:6b:57,26.59,54.66,-58
2022-05-16 17:52:37.003215,84CCA8550D40,ac:23:3f:4e:6b:57,26.59,54.67,-60
2022-05-16 17:53:11.608674,84CCA8550D40,ac:23:3f:4e:6b:57,26.6,54.71,-58
2022-05-16 17:53:36.456639,84CCA8550D40,ac:23:3f:4e:6b:57,26.59,54.7,-59
2022-05-16 17:54:06.136594,84CCA8550D40,ac:23:3f:4e:6b:57,26.58,54.71,-58
2022-05-16 17:54:31.735773,84CCA8550D40,ac:23:3f:4e:6b:57,26.59,54.9,-59
2022-05-16 17:55:01.452513,84CCA8550D40,ac:23:3f:4e:6b:57,26.42,55.52,-57
2022-05-16 17:55:25.959046,84CCA8550D40,ac:23:3f:4e:6b:57,26.42,55.51,-58
2022-05-16 17:55:55.644841,84CCA8550D40,ac:23:3f:4e:6b:57,26.41,55.27,-59
2022-05-16 17:56:25.385415,84CCA8550D40,ac:23:3f:4e:6b:57,26.4,55.43,-58
2022-05-16 17:56:46.340029,84CCA8550D40,ac:23:3f:4e:6b:57,26.38,55.6,-60
2022-05-16 17:57:21.148238,84CCA8550D40,ac:23:3f:4e:6b:57,26.39,56.04,-58
2022-05-16 17:57:46.691541,84CCA8550D40,ac:23:3f:4e:6b:57,26.4,55.82,-59
2022-05-16 17:58:11.761181,84CCA8550D40,ac:23:3f:4e:6b:57,26.44,56.75,-60
2022-05-16 17:58:41.300873,84CCA8550D40,ac:23:3f:4e:6b:57,26.44,56.25,-58
2022-05-16 17:59:10.960174,84CCA8550D40,ac:23:3f:4e:6b:57,26.42,55.61,-57
2022-05-16 17:59:40.946089,84CCA8550D40,ac:23:3f:4e:6b:57,26.42,55.61,-58
2022-05-16 18:00:05.847497,84CCA8550D40,ac:23:3f:4e:6b:57,26.38,55.58,-57
2022-05-16 18:00:31.504396,84CCA8550D40,ac:23:3f:4e:6b:57,26.37,55.73,-60
2022-05-16 18:01:01.435812,84CCA8550D40,ac:23:3f:4e:6b:57,26.31,55.95,-58
2022-05-16 18:01:30.924579,84CCA8550D40,ac:23:3f:4e:6b:57,26.27,56.36,-58
2022-05-16 18:01:55.730729,84CCA8550D40,ac:23:3f:4e:6b:57,26.1,56.26,-59
2022-05-16 18:02:25.715657,84CCA8550D40,ac:23:3f:4e:6b:57,26.09,57.08,-58
2022-05-16 18:02:55.203117,84CCA8550D40,ac:23:3f:4e:6b:57,26.09,56.73,-58
2022-05-16 18:03:19.954109,84CCA8550D40,ac:23:3f:4e:6b:57,26.05,56.88,-58
2022-05-16 18:03:49.705733,84CCA8550D40,ac:23:3f:4e:6b:57,26.05,56.93,-57
2022-05-16 18:04:10.538237,84CCA8550D40,ac:23:3f:4e:6b:57,26.06,57.11,-60
2022-05-16 18:04:19.935031,84CCA8550D40,ac:23:3f:4e:6b:57,26.06,56.77,-58
2022-05-16 18:04:44.581330,84CCA8550D40,ac:23:3f:4e:6b:57,26.06,56.77,-57
2022-05-16 18:05:14.475234,84CCA8550D40,ac:23:3f:4e:6b:57,26.06,56.98,-58
2022-05-16 18:05:39.379353,84CCA8550D40,ac:23:3f:4e:6b:57,26.1,56.95,-57
2022-05-16 18:06:08.847434,84CCA8550D40,ac:23:3f:4e:6b:57,26.09,56.77,-57
2022-05-16 18:06:33.764167,84CCA8550D40,ac:23:3f:4e:6b:57,26.05,56.96,-59
2022-05-16 18:06:59.665814,84CCA8550D40,ac:23:3f:4e:6b:57,26.02,56.92,-60
2022-05-16 18:07:29.374234,84CCA8550D40,ac:23:3f:4e:6b:57,26.0,56.94,-57
2022-05-16 18:07:59.829263,84CCA8550D40,ac:23:3f:4e:6b:57,26.01,57.08,-58
2022-05-16 18:08:25.384700,84CCA8550D40,ac:23:3f:4e:6b:57,26.04,56.96,-60
2022-05-16 18:08:51.417821,84CCA8550D40,ac:23:3f:4e:6b:57,26.03,56.96,-60
2022-05-16 18:09:20.813806,84CCA8550D40,ac:23:3f:4e:6b:57,25.96,57.32,-59
2022-05-16 18:09:50.875040,84CCA8550D40,ac:23:3f:4e:6b:57,25.91,57.52,-58
2022-05-16 18:10:16.697096,84CCA8550D40,ac:23:3f:4e:6b:57,25.78,57.82,-60
2022-05-16 18:10:46.292495,84CCA8550D40,ac:23:3f:4e:6b:57,25.78,57.82,-59
2022-05-16 18:11:11.409739,84CCA8550D40,ac:23:3f:4e:6b:57,25.78,57.97,-58
2022-05-16 18:11:35.688668,84CCA8550D40,ac:23:3f:4e:6b:57,25.77,58.04,-59
2022-05-16 18:11:45.518810,84CCA8550D40,ac:23:3f:4e:6b:57,25.77,58.04,-58
2022-05-16 18:14:40.278147,84CCA8550D40,ac:23:3f:4e:6b:57,25.76,58.12,-59
2022-05-16 18:14:49.695113,84CCA8550D40,ac:23:3f:4e:6b:57,25.71,58.08,-59
2022-05-16 18:15:04.176844,84CCA8550D40,ac:23:3f:4e:6b:57,25.74,58.12,-58
2022-05-16 18:15:13.853938,84CCA8550D40,ac:23:3f:4e:6b:57,25.74,58.15,-58
2022-05-16 18:15:23.078981,84CCA8550D40,ac:23:3f:4e:6b:57,25.7,58.22,-59
2022-05-16 18:15:32.567797,84CCA8550D40,ac:23:3f:4e:6b:57,25.71,58.38,-58
2022-05-16 18:15:42.214566,84CCA8550D40,ac:23:3f:4e:6b:57,25.71,58.45,-59
2022-05-16 18:15:51.851001,84CCA8550D40,ac:23:3f:4e:6b:57,25.74,58.45,-58
2022-05-16 18:16:06.372450,84CCA8550D40,ac:23:3f:4e:6b:57,25.75,58.41,-59
2022-05-16 18:16:20.937132,84CCA8550D40,ac:23:3f:4e:6b:57,25.72,58.22,-59
2022-05-16 18:16:30.403426,84CCA8550D40,ac:23:3f:4e:6b:57,25.72,58.29,-57
2022-05-16 18:16:40.072209,84CCA8550D40,ac:23:3f:4e:6b:57,25.75,58.29,-59
2022-05-16 18:16:49.317832,84CCA8550D40,ac:23:3f:4e:6b:57,25.75,58.3,-58
2022-05-16 18:16:58.877383,84CCA8550D40,ac:23:3f:4e:6b:57,25.74,58.27,-58
2022-05-16 18:17:08.550161,84CCA8550D40,ac:23:3f:4e:6b:57,25.76,58.28,-58
2022-05-16 18:17:17.800007,84CCA8550D40,ac:23:3f:4e:6b:57,25.77,58.3,-58
2022-05-16 18:17:27.258104,84CCA8550D40,ac:23:3f:4e:6b:57,25.8,58.38,-59
2022-05-16 18:17:36.923646,84CCA8550D40,ac:23:3f:4e:6b:57,25.82,58.43,-59
2022-05-16 18:17:42.282969,84CCA8550D40,ac:23:3f:4e:6b:57,25.84,58.51,-60
2022-05-16 18:17:51.830464,84CCA8550D40,ac:23:3f:4e:6b:57,25.85,58.55,-58
2022-05-16 18:18:01.280689,84CCA8550D40,ac:23:3f:4e:6b:57,25.86,58.49,-58
2022-05-16 18:18:15.899555,84CCA8550D40,ac:23:3f:4e:6b:57,25.87,58.25,-59
2022-05-16 18:18:25.450692,84CCA8550D40,ac:23:3f:4e:6b:57,25.89,58.2,-59
2022-05-16 18:18:34.736920,84CCA8550D40,ac:23:3f:4e:6b:57,25.86,58.16,-59
2022-05-16 18:18:49.282254,84CCA8550D40,ac:23:3f:4e:6b:57,25.87,58.3,-58
2022-05-16 18:18:58.959221,84CCA8550D40,ac:23:3f:4e:6b:57,25.89,58.33,-59
2022-05-16 18:19:18.402736,84CCA8550D40,ac:23:3f:4e:6b:57,25.92,58.2,-58
2022-05-16 18:19:32.910158,84CCA8550D40,ac:23:3f:4e:6b:57,25.92,58.46,-59
2022-05-16 18:19:42.400386,84CCA8550D40,ac:23:3f:4e:6b:57,25.94,58.36,-58
2022-05-16 18:19:52.152492,84CCA8550D40,ac:23:3f:4e:6b:57,25.96,60.01,-59
2022-05-16 18:19:57.527093,84CCA8550D40,ac:23:3f:4e:6b:57,25.98,59.59,-60
2022-05-16 18:20:07.096907,84CCA8550D40,ac:23:3f:4e:6b:57,25.99,58.92,-59
2022-05-16 18:20:16.566288,84CCA8550D40,ac:23:3f:4e:6b:57,25.97,58.45,-59
2022-05-16 18:20:30.913770,84CCA8550D40,ac:23:3f:4e:6b:57,25.97,58.42,-58
2022-05-16 18:20:45.924101,84CCA8550D40,ac:23:3f:4e:6b:57,26.02,58.21,-60
2022-05-16 18:20:51.491929,84CCA8550D40,ac:23:3f:4e:6b:57,26.01,58.23,-60
2022-05-16 18:21:00.755433,84CCA8550D40,ac:23:3f:4e:6b:57,26.01,58.19,-59
2022-05-16 18:21:10.353596,84CCA8550D40,ac:23:3f:4e:6b:57,26.02,58.18,-58
2022-05-16 18:21:19.912148,84CCA8550D40,ac:23:3f:4e:6b:57,26.03,58.16,-59
2022-05-16 18:21:29.300755,84CCA8550D40,ac:23:3f:4e:6b:57,26.04,58.15,-59
2022-05-16 18:21:39.374442,84CCA8550D40,ac:23:3f:4e:6b:57,26.05,58.21,-59
2022-05-16 18:21:48.225400,84CCA8550D40,ac:23:3f:4e:6b:57,26.05,58.25,-59
2022-05-16 18:21:57.743292,84CCA8550D40,ac:23:3f:4e:6b:57,26.06,58.08,-59
2022-05-16 18:22:03.381891,84CCA8550D40,ac:23:3f:4e:6b:57,26.0,57.92,-60
2022-05-16 18:22:23.093080,84CCA8550D40,ac:23:3f:4e:6b:57,25.98,58.04,-58
2022-05-16 18:22:32.706488,84CCA8550D40,ac:23:3f:4e:6b:57,25.95,57.78,-58
2022-05-16 18:22:41.947086,84CCA8550D40,ac:23:3f:4e:6b:57,25.95,57.78,-58
2022-05-16 18:23:06.180479,84CCA8550D40,ac:23:3f:4e:6b:57,25.95,58.08,-59
2022-05-16 18:23:15.506613,84CCA8550D40,ac:23:3f:4e:6b:57,25.93,57.94,-59
2022-05-16 18:23:24.975037,84CCA8550D40,ac:23:3f:4e:6b:57,25.89,57.73,-58
2022-05-16 18:23:34.621076,84CCA8550D40,ac:23:3f:4e:6b:57,25.87,57.65,-59
2022-05-16 18:23:43.903744,84CCA8550D40,ac:23:3f:4e:6b:57,25.83,57.55,-61
2022-05-16 18:23:53.379860,84CCA8550D40,ac:23:3f:4e:6b:57,25.8,57.66,-59
2022-05-16 18:24:03.127524,84CCA8550D40,ac:23:3f:4e:6b:57,25.8,57.66,-59
